Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
McDonald's Corporate,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
TikTok,"Data Scientist - Analytics, TikTok Ecosystem","Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Nike,"Data Scientist, Search Modeling","Beaverton, OR",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,5001 to 10000 Employees,1851,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
TikTok,Data Analytics Manager - Tiktok Ads,"Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
CBRE,Data Scientist,"Richardson, TX",3.9,-1,-1,10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable
Hilton Grand Vacations,Data Scientist,"Orlando, FL",3.9,-1,-1,5001 to 10000 Employees,1992,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable
BD,Data Scientist,"Franklin Lakes, NJ",3.9,-1,-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
University of California Office of the President,DATA ANALYTICS DEVELOPER,"Oakland, CA",3.5,$137K - $160K (Employer est.),"$148,250 /yr (est.)",1001 to 5000 Employees,1868,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
University of Wisconsin–Madison,DATA SCIENTIST,"Madison, WI",4.8,-1,-1,51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Penn State University,Statistical Assistant,"University Park, PA",4.3,-1,-1,10000+ Employees,1855,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
Glacier,Data Science Engineer (AI),"San Francisco, CA",3.9,-1,-1,51 to 200 Employees,Company - Public,$10 to $25 million (USD),-1,-1,-1
University of Utah,Data Scientist,"Salt Lake City, UT",4.3,$100K - $120K (Employer est.),"$110,000 /yr (est.)",10000+ Employees,1850,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
First National Bank of Omaha,"Analyst II, Data Analysis","Omaha, NE",4.1,-1,-1,1001 to 5000 Employees,1857,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
Costena Supermarket,Software Engineer / ML Engineer / Data Scientist (Quantitative Analysis),"San Jose, CA",-1,$75K - $250K (Employer est.),"$162,500 /yr (est.)",-1,-1,-1,-1,-1,-1
Nike,EXPERT DATA SCIENTIST (GLOBAL COMMERCIAL ANALYTICS- S&IP OPTIMIZATION),"Beaverton, OR",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Salesforce,Data Scientist - Tableau,"Seattle, WA",4.4,-1,-1,10000+ Employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Johnson Controls,Data Engineer,"San Jose, CA",3.5,-1,-1,10000+ Employees,1885,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
"Amazon Web Services, Inc.",Data Scientist,"Seattle, WA",3.8,-1,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
AWE Technologies,Data Scientist/Machine Learning Engineer,"Boston, MA",-1,$70K - $100K (Employer est.),"$85,000 /yr (est.)",-1,-1,-1,-1,-1,-1
Stealth Mode Startup,"Data Scientist, System Analytics","Newark, CA",4.2,-1,-1,1 to 50 Employees,Unknown,Less than $1 million (USD),-1,-1,-1
Cognizant Technology Solutions,Data Analyst,"Dover, NH",3.8,-1,-1,10000+ Employees,1994,Company - Public,Consulting,Business Services,$10+ billion (USD)
TUFTS University,Data Scientist II,"Medford, MA",4.5,-1,-1,1001 to 5000 Employees,1852,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
